345_fleshormeat,FLESH OR MEAT,2615,FLESH OR MEAT
346_armorhand,ARM OR HAND,2121,ARM OR HAND
347_doormake,DO OR MAKE,2575,DO OR MAKE
348_stoneorrock,STONE OR ROCK,2125,STONE OR ROCK
349_strikeorbeat,STRIKE OR BEAT,2133,STRIKE OR BEAT
350_footorleg,FOOT OR LEG,2098,FOOT OR LEG
351_childdescendant,CHILD (DESCENDANT),1801,CHILD (DESCENDANT)
352_burning,BURNING,1428,BURNING
353_old,OLD,1229,OLD
354_wood,WOOD,1803,WOOD
355_salt,SALT,1274,SALT
356_grind,GRIND,1033,GRIND
357_we,WE,1212,WE
358_claw,CLAW,72,CLAW
359_knowsomething,KNOW (SOMETHING),1410,KNOW (SOMETHING)
360_lierest,LIE (REST),1411,LIE (REST)
361_rainingorrain,RAINING OR RAIN,2108,RAINING OR RAIN
362_road,ROAD,667,ROAD
363_walk,WALK,1443,WALK
364_hotorwarm,HOT OR WARM,2272,HOT OR WARM
